	id	difference	execution_time	longitude	latitude
79	356	 1-6	2015-08-09 00:00:00	-73.98261206	40.71622644
80	357	 1-6	2015-08-09 00:00:00	-73.99158043	40.73261787
81	358	 1-6	2015-08-09 00:00:00	-74.00711384	40.73291553
82	359	 1-6	2015-08-09 00:00:00	-73.97498696	40.75510267
83	360	 1-6	2015-08-09 00:00:00	-74.00887308	40.70717936
84	361	 1-6	2015-08-09 00:00:00	-73.99190759	40.71605866
85	362	 1-6	2015-08-09 00:00:00	-73.98753523	40.75172632
86	363	 1-6	2015-08-09 00:00:00	-74.01713445	40.70834698
87	366	 1-6	2015-08-09 00:00:00	-73.968896	40.693261
88	367	 1-6	2015-08-09 00:00:00	-73.97069431	40.75828065
89	368	15-24	2015-08-09 00:00:00	-74.00214988	40.73038599
90	372	 1-6	2015-08-09 00:00:00	-73.958089	40.694528
91	375	 1-6	2015-08-09 00:00:00	-73.99695094	40.72679454
92	376	 1-6	2015-08-09 00:00:00	-74.00722156	40.70862144
93	379	 1-6	2015-08-09 00:00:00	-73.9916	40.749156
94	380	 1-6	2015-08-09 00:00:00	-74.00293877	40.73401143
95	382	 1-6	2015-08-09 00:00:00	-73.99200509	40.73492695
96	383	 1-6	2015-08-09 00:00:00	-74.000271	40.735238
97	384	 1-6	2015-08-09 00:00:00		
98	387	 7-14	2015-08-09 00:00:00	-74.0046073	40.71273266
99	391	 1-6	2015-08-09 00:00:00	-73.99344559	40.69760127
100	394	 1-6	2015-08-09 00:00:00	-73.97768752	40.72521311
101	395	 1-6	2015-08-09 00:00:00	-73.98410637	40.68807003
102	396	 1-6	2015-08-09 00:00:00	-73.9557689392	40.680342423
103	397	 1-6	2015-08-09 00:00:00	-73.96922273	40.68415748
104	400	 1-6	2015-08-09 00:00:00	-73.98178024	40.71926081
105	402	 1-6	2015-08-09 00:00:00	-73.98955109	40.7403432
106	403	 7-14	2015-08-09 00:00:00	-73.99069656	40.72502876
107	404	 7-14	2015-08-09 00:00:00	-74.00550867	40.7405826
108	405	 1-6	2015-08-09 00:00:00	-74.008119	40.739323
109	410	 7-14	2015-08-09 00:00:00	-73.98517977	40.72066442
110	411	 1-6	2015-08-09 00:00:00	-73.97668709	40.72228087
111	412	 1-6	2015-08-09 00:00:00	-73.99422366	40.7158155
112	414	 1-6	2015-08-09 00:00:00	-73.98765762	40.70281858
113	417	 1-6	2015-08-09 00:00:00	-74.01020234	40.71291224
114	423	 1-6	2015-08-09 00:00:00	-73.98690506	40.76584941
115	426	 7-14	2015-08-09 00:00:00	-74.01322069	40.71754834
116	427	 1-6	2015-08-09 00:00:00	-74.013942	40.701907
117	428	 1-6	2015-08-09 00:00:00	-73.98783413	40.72467721
118	432	 1-6	2015-08-09 00:00:00	-73.98379855	40.72621788
119	433	 1-6	2015-08-09 00:00:00	-73.98057249	40.72955361
120	434	 1-6	2015-08-09 00:00:00	-74.00366443	40.74317449
121	435	 7-14	2015-08-09 00:00:00	-73.99415556	40.74173969
122	437	 1-6	2015-08-09 00:00:00	-73.9500479759	40.6809833854
123	438	 7-14	2015-08-09 00:00:00	-73.98564945	40.72779126
124	440	 1-6	2015-08-09 00:00:00	-73.97282625	40.75255434
125	441	 1-6	2015-08-09 00:00:00	-73.967416	40.756014
126	442	 1-6	2015-08-09 00:00:00	-73.993915	40.746647
127	444	 7-14	2015-08-09 00:00:00	-73.98915076	40.7423543
128	445	 1-6	2015-08-09 00:00:00	-73.98142006	40.72740794
129	446	 1-6	2015-08-09 00:00:00	-73.99529885	40.74487634
130	447	 7-14	2015-08-09 00:00:00	-73.9851615	40.76370739
131	448	 1-6	2015-08-09 00:00:00	-73.9979009	40.75660359
132	449	 1-6	2015-08-09 00:00:00	-73.98789473	40.76461837
133	450	 1-6	2015-08-09 00:00:00	-73.98788205	40.76227205
134	453	 1-6	2015-08-09 00:00:00	-73.99915362	40.74475148
135	454	 1-6	2015-08-09 00:00:00	-73.96592976	40.75455731
136	455	 1-6	2015-08-09 00:00:00	-73.96905301	40.75001986
137	457	 1-6	2015-08-09 00:00:00	-73.98169333	40.76695317
138	458	 1-6	2015-08-09 00:00:00	-74.005226	40.751396
139	459	 1-6	2015-08-09 00:00:00	-74.007756	40.746745
140	461	 1-6	2015-08-09 00:00:00	-73.98205027	40.73587678
141	462	 1-6	2015-08-09 00:00:00	-74.00451887	40.74691959
142	464	 1-6	2015-08-09 00:00:00	-73.96759673	40.75934501
143	465	 7-14	2015-08-09 00:00:00	-73.98658032	40.75513557
144	466	 1-6	2015-08-09 00:00:00	-73.99144871	40.74395411
145	469	 1-6	2015-08-09 00:00:00	-73.98268129	40.76344058
146	470	 1-6	2015-08-09 00:00:00	-74.00004031	40.74345335
147	471	25-39	2015-08-09 00:00:00	-73.95698119	40.71286844
148	472	 1-6	2015-08-09 00:00:00	-73.98194829	40.7457121
149	473	 1-6	2015-08-09 00:00:00	-73.9919254	40.72110063
150	474	 1-6	2015-08-09 00:00:00	-73.98683077	40.7451677
151	475	 1-6	2015-08-09 00:00:00	-73.98758561	40.73524276
152	476	 1-6	2015-08-09 00:00:00	-73.97966069	40.74394314
153	477	 1-6	2015-08-09 00:00:00	-73.9900262	40.75640548
154	478	 1-6	2015-08-09 00:00:00	-73.99884222	40.76030096
155	479	 1-6	2015-08-09 00:00:00	-73.9912551	40.76019252
156	480	 1-6	2015-08-09 00:00:00	-73.99061728	40.76669671
157	481	 1-6	2015-08-09 00:00:00	-73.96264403	40.71260486
158	482	 1-6	2015-08-09 00:00:00	-73.99931783	40.73935542
159	483	 1-6	2015-08-09 00:00:00	-73.98889957	40.73223272
160	484	 1-6	2015-08-09 00:00:00	-73.98014437	40.75500254
161	485	 7-14	2015-08-09 00:00:00	-73.98338988	40.75038009
162	486	 1-6	2015-08-09 00:00:00	-73.98855723	40.7462009
163	487	 1-6	2015-08-09 00:00:00	-73.97573881	40.73314259
164	488	 1-6	2015-08-09 00:00:00	-73.99372222	40.75645824
165	489	 1-6	2015-08-09 00:00:00	-74.00176802	40.75066386
166	490	 1-6	2015-08-09 00:00:00	-73.993934	40.751551
167	491	 1-6	2015-08-09 00:00:00	-73.98602213	40.74096374
168	492	 1-6	2015-08-09 00:00:00	-73.99093085	40.75019995
169	493	 1-6	2015-08-09 00:00:00	-73.98291153	40.7568001
170	494	 1-6	2015-08-09 00:00:00	-73.99723551	40.74734825
171	495	 1-6	2015-08-09 00:00:00	-73.99301222	40.76269882
172	496	 1-6	2015-08-09 00:00:00	-73.99238967	40.73726186
173	498	 1-6	2015-08-09 00:00:00	-73.98808416	40.74854862
174	499	 7-14	2015-08-09 00:00:00	-73.98191841	40.76915505
175	501	 1-6	2015-08-09 00:00:00	-73.97121214	40.744219
176	502	 7-14	2015-08-09 00:00:00	-73.981346	40.714215
177	503	 1-6	2015-08-09 00:00:00	-73.98751968	40.73827428
178	504	 1-6	2015-08-09 00:00:00	-73.98165557	40.73221853
179	507	 1-6	2015-08-09 00:00:00	-73.97973776	40.73912601
180	508	 1-6	2015-08-09 00:00:00	-73.99667444	40.76341379
181	511	 1-6	2015-08-09 00:00:00	-73.97772429	40.72938685
182	512	 7-14	2015-08-09 00:00:00	-73.99839279	40.7500727
183	513	 1-6	2015-08-09 00:00:00	-73.988639	40.768254
184	514	 1-6	2015-08-09 00:00:00	-74.00277668	40.76087502
185	515	 1-6	2015-08-09 00:00:00	-73.99461843	40.76009437
186	517	 1-6	2015-08-09 00:00:00	-73.97791	40.751581
187	518	 1-6	2015-08-09 00:00:00	-73.9734419	40.74780373
188	519	 1-6	2015-08-09 00:00:00	-73.977706	40.751873
189	520	 1-6	2015-08-09 00:00:00	-73.97648516	40.75992262
190	521	 1-6	2015-08-09 00:00:00	-73.9944420755	40.7509673487
191	522	 1-6	2015-08-09 00:00:00	-73.97207836	40.75714758
192	525	 1-6	2015-08-09 00:00:00	-74.0021163	40.75594159
193	526	 1-6	2015-08-09 00:00:00	-73.98490707	40.74765947
194	527	 1-6	2015-08-09 00:00:00	-73.976056	40.744023
195	528	 7-14	2015-08-09 00:00:00	-73.97706058	40.74290902
196	531	 1-6	2015-08-09 00:00:00	-73.99266288	40.71893904
197	532	 1-6	2015-08-09 00:00:00	-73.960876	40.710451
198	533	 1-6	2015-08-09 00:00:00	-73.98721619	40.75299641
199	536	 1-6	2015-08-09 00:00:00	-73.97536082	40.74144387
200	537	 1-6	2015-08-09 00:00:00	-73.98409214	40.74025878
201	539	 1-6	2015-08-09 00:00:00	-73.96024116	40.71534825
202	540	 1-6	2015-08-09 00:00:00		
203	545	 1-6	2015-08-09 00:00:00	-73.97809472	40.736502
204	546	 1-6	2015-08-09 00:00:00	-73.98303529	40.74444921
205	2003	 1-6	2015-08-09 00:00:00	-73.9805442095	40.733812192
206	2008	 1-6	2015-08-09 00:00:00	-74.01677685	40.70569254
207	2009	 1-6	2015-08-09 00:00:00	-73.99682619	40.71117444
208	2010	 1-6	2015-08-09 00:00:00	-74.00234737	40.72165481
209	2012	 1-6	2015-08-09 00:00:00	-73.976806	40.739445
210	2021	 7-14	2015-08-09 00:00:00	-73.98859651	40.75929124
211	2022	 1-6	2015-08-09 00:00:00	-73.959223	40.759107
212	3002	 1-6	2015-08-09 00:00:00	-74.015756	40.711512
213	3180	 1-6	2015-08-09 00:00:00	-73.99712	40.69878
214	72	 1-6	2015-08-09 00:30:00	-73.99392888	40.76727216
215	79	 1-6	2015-08-09 00:30:00	-74.00666661	40.71911552
216	83	 1-6	2015-08-09 00:30:00	-73.97632328	40.68382604
217	116	 1-6	2015-08-09 00:30:00	-74.00149746	40.74177603
218	128	 1-6	2015-08-09 00:30:00	-74.00297088	40.72710258
219	144	 1-6	2015-08-09 00:30:00	-73.98068914	40.69839895
220	147	 1-6	2015-08-09 00:30:00	-74.01121978	40.71542197
221	150	 1-6	2015-08-09 00:30:00	-73.98085795	40.7208736
222	151	 1-6	2015-08-09 00:30:00	-73.99720307	40.7218158
223	152	 1-6	2015-08-09 00:30:00	-74.00910627	40.71473993
224	153	 1-6	2015-08-09 00:30:00	-73.9816324043	40.752062307
225	157	 1-6	2015-08-09 00:30:00	-73.99612349	40.69089272
226	160	 1-6	2015-08-09 00:30:00	-73.978311	40.748238
227	161	 1-6	2015-08-09 00:30:00	-73.99810231	40.72917025
228	164	 1-6	2015-08-09 00:30:00	-73.97032517	40.75323098
229	168	 1-6	2015-08-09 00:30:00	-73.99456405	40.73971301
230	195	 1-6	2015-08-09 00:30:00	-74.01043382	40.70905623
231	212	 1-6	2015-08-09 00:30:00	-74.00681753	40.74334935
232	218	 1-6	2015-08-09 00:30:00	-73.98707105	40.69028437
